Jogo,Total de vendas
Contact,0.11
MotionSports,0.7
Lunar: Silver Star Story Complete,0.76
SD Gundam: Gashapon Wars,0.1
Zubo,0.13
Far Cry Instincts,0.5800000000000001
Jet Moto 2,1.93
The Sims: House Party,2.16
FIFA 14,17.16
Kanon,0.06
Cruis'n,0.12
Bump 'n' Jump,0.39
Disney's Magical Quest 3 Starring Mickey and Donald,0.03
Jade Cocoon: Story of the Tamamayu,0.27
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,0.03
Rugrats: Totally Angelica,0.11
Negima!? Dream Tactic Yumemiru Otome Princess,0.03
Yu-Gi-Oh! Double Pack,0.29000000000000004
HotBrain,0.02
Where's Waldo? The Fantastic Journey,0.41000000000000003
Ultimate Puzzle Games,0.01
NBA 2K3,1.51
Codename Tenka,0.09
Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,0.03
EverQuest Online Adventures,0.42
Shinseiki Evangelion: Battle Orchestra Portable,0.01
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,0.11
Dream Chronicles,0.02
Juggler DS,0.01
Generation of Chaos,0.05
Rally Cross,0.32
Legoland,0.01
Bujingai: The Forsaken City,0.09999999999999999
Lost Heroes,0.16
Brothers In Arms: D-Day,0.45999999999999996
Unreal Championship,0.74
Mirror's Edge,2.36
Railfan,0.01
Choro Q,0.02
The Adventures of Cookie & Cream,0.18
Toriko: Gourmet Survival!,0.36
Kuroko's Basketball: Ties to Future,0.08
Dramatical Murder Re:code,0.01
Romance of the Three Kingdoms IX,0.06999999999999999
Jet Li: Rise to Honor,1.26
Vitamin X Evolution,0.03
Mobile Suit Gundam Side Story I: Senritsu no Blue,0.28
Fate/Unlimited Codes Portable,0.05
Front Line,0.23
uDraw Studio,2.45
The Bard's Tale,0.31
Gensou Suikoden I & II,0.03
Final Fantasy Fables: Chocobo Tales,0.25
Demon Driver: Time to Burn Rubber!,0.03
Godzilla (2015),0.18
Clash of the Titans,0.48000000000000004
Viewtiful Joe,0.91
Billy's Boot Camp: Wii de Enjoy Diet!,0.07
Resistance: Retribution,0.9
The Lost Chronicles of Zerzura,0.060000000000000005
Dragon Ball Z: Burst Limit,1.36
Oyaku de Asoberu DS Ehon: Ukkari Penelope,0.02
Formula 1 06,0.04
Need for Speed: Hot Pursuit 2,3.7099999999999995
MLB 06: The Show,1.29
3D Tank Warfare Simulator Panzer Front,0.11
Spyborgs,0.12
Power Pro Kun Pocket 12,0.19
Pinobee: Wings of Adventure,0.08
Big Air Freestyle,0.05
Animorphs: Shattered Reality,0.05
Shin Sangoku Musou 6 Special,0.11
The Penguins of Madagascar,0.27
NCAA Football 08,1.95
Zatch Bell! Mamodo Fury,0.04
Tegami Bachi: Kokoro Tsumugu Mono e,0.02
Winning Post World,0.08
NickToons: Racing,0.42
FlatOut: Ultimate Carnage,0.12
Fire ProWrestling G,0.19
Sid Meier's Civilization Revolution,2.08
Iron Phoenix,0.02
WSC Real 11: World Snooker Championship,0.14
Margot's Word Brain,0.21000000000000002
Tom Clancy's Rainbow Six: Siege,3.66
Ivy the Kiwi?,0.1
Klonoa 2: Lunatea's Veil,0.32999999999999996
Crush,0.08
Medieval II: Total War,0.1
Disgaea 2: Cursed Memories,0.33
Gran Turismo Concept 2001 Tokyo,1.85
Wangan Midnight,0.03
Let's TAP,0.18
MLB 10: The Show,1.33
Tom Clancy's Splinter Cell: Blacklist,2.319999999999999
Rise of Nightmares,0.46
MotoGP,0.6200000000000001
Last Escort,0.02
Airlock,0.38
Jewel Quest Mysteries 2: Trail of the Midnight Heart,0.05
Battle Stadium D.O.N,0.24
Kyoukai Senjou no Horizon Portable,0.05
SingStar Abba,2.31
PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,0.02
OutRun 2,0.15000000000000002
Storybook Workshop,0.08
Ninja Assault,0.09999999999999999
Samurai & Dragons,0.02
Garfield: Lasagna World Tour,0.16
Bust A Groove 2,0.27
Wizardry VII: Gadeia no Houshu,0.15000000000000002
Dance Dance Revolution SuperNOVA,1.04
Mario Party 4,2.4799999999999995
Lethal Enforcers,0.09
NHL 2001,1.59
Yarudora Series Vol.1: Double Cast,0.37
NFL GameDay '97,0.8700000000000001
Game de Hakken!! Tamagotchi 2,1.45
Super Robot Taisen L,0.17
Madden NFL 13,6.539999999999999
One Piece: Romance Dawn - Bouken no Yoake,0.4
Kessen III,0.08
Bayonetta,2.17
Jillian Michaels Fitness Ultimatum 2011,0.17
Freaky Flyers,0.13
Rock of the Dead,0.08
Medarot 3: Kabuto / Kuwagata Version,0.27
Need for Speed Carbon: Own the City,2.65
The Mummy Returns,0.5
Super Mario Land,18.14
Street Supremacy,0.03
Def Jam Fight For NY: The Takeover,0.09
Guitar Freaks,0.25
Spy Kids Challenger,0.25
Catherine,1.03
Enchanted Arms,0.4
Mega Man X4,1.11
Majin and the Forsaken Kingdom,0.4700000000000001
FIFA Manager 12,0.04
Outlaw Golf 2,0.56
Uta Kumi 575,0.02
Deadly Arts,0.04
Dynasty Warriors 5: Xtreme Legends,0.5700000000000001
Twin Strike: Operation Thunder,0.04
TimeShift,0.5800000000000001
Major League Baseball 2K5,2.03
Pikmin,1.6300000000000001
Capcom Digital Collection,0.03
World Championship Poker: Deluxe Series,0.08
Warriors Orochi,1.27
Your Shape: Fitness Evolved 2012,1.17
The Incredible Hulk: The Pantheon Saga,0.16
Puss in Boots,0.6500000000000001
NASCAR 06: Total Team Control,0.9100000000000001
Hospital Tycoon,0.01
Soul Sacrifice Delta,0.29
Bust-A-Move Bash!,0.15000000000000002
Naruto: Gekito Ninja Taisen! 4,0.33
Dance Dance Revolution Ultramix 2,0.43000000000000005
Yoshi Touch & Go (JP sales),0.22
Dragon Quest V: Hand of the Heavenly Bride,1.59
Disney's Tarzan Untamed,0.5900000000000001
WWE 2K14,2.3200000000000003
Kirby's Return to Dreamland,1.7000000000000002
Solitaire & Mahjong,0.12
All Star Cheer Squad,1.08
Soul Reaver 2,0.55
Freedom Wars,0.7799999999999999
Mortal Kombat: Armageddon,1.31
I Spy: Fun House,0.8300000000000001
Klonoa Heroes: Densetsu no Star Medal,0.04
Spyro: A Hero's Tail,1.09
Famicom Jump: Eiyuu Retsuden,1.1
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,0.03
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,0.07
Operation Flashpoint: Dragon Rising,1.8900000000000001
Puzzle de Harvest Moon,0.13
Wild Earth: African Safari,0.14
Hakuoki: Reimeiroku - Omouhase Kara,0.01
Tears to Tiara: Kakan no Daichi Portable,0.01
ESPN Winter X-Games: Snowboarding 2002,0.07
PachiPara 14: Fuu to Kumo to Super Umi in Okinawa,0.05
Spawn: Armageddon,0.6900000000000002
Digimon Digital Card Battle,0.11
Mystery Tales of Time Travel,0.19
Power Rangers Super Megaforce,0.02
Bio FREAKS,0.27
Racing Gears Advance,0.06
Raze's Hell,0.05
Ookami to Koushinryou: Boku to Horo no Ichinen,0.04
Shining Force III: Scenario 2,0.05
MTX Mototrax,0.39
NHL Championship 2000,0.21000000000000002
Ferrari Challenge Trofeo Pirelli,0.17
Tony Hawk's Pro Skater,8.47
Myth Makers: Super Kart GP,0.01
Goku Makaimura Kai,0.01
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,0.04
The Price is Right: Decades,0.25
Rage Racer,1.1800000000000002
Jikkyou Powerful Pro Yakyuu 10,0.61
DiRT Rally,0.47
The $1 Pyramid,0.09
iCarly,1.1800000000000002
Fantastic Voyage,0.34
Assassin's Creed: Brotherhood,6.94
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,0.07
Monster Band,0.04
Pirates vs Ninja Dodgeball,0.05
My Baby 3 & Friends,0.16
The Secret Saturdays: Beasts of the 5th Sun,0.43000000000000005
Trinity Universe,0.18
ESPN Final Round Golf 2002,0.16999999999999998
Fire Emblem: The Sacred Stones,0.8999999999999999
Tiger Woods PGA Tour Golf,0.04
Petz Rescue: Wildlife Vet,0.61
Taiko Drum Master,0.21
Dead Rising 2,2.99
Rock Band 3,2.2499999999999996
Grisaia no Kajitsu: La Fruit de la Grisaia,0.01
Chuck E. Cheese's Sports Games,0.02
Clever Kids: Creepy Crawlies,0.04
Daito Giken Premium Pachi-Slot Collection: Yoshimune,0.03
PopCap Arcade Vol 1,0.04
Starcraft 64,0.16
Bleach GC: Tasogare Ni Mamieru Shinigami,0.08
Pandemonium 2,0.06
High School Musical 3: Senior Year,1.5699999999999998
Phantasy Star Universe: Ambition of the Illuminus,0.26
Fable,3.1499999999999995
Last Escort 2: Shinya no Amai Toge,0.03
Momotarou Dentetsu Happy,0.32
Monster Garage,0.060000000000000005
MLB Superstars,0.09
Abunai: Koi no Sousa Shitsu,0.03
.hack//G.U. Vol.2//Reminisce (jp sales),0.16
Ouka Sengoku Portable,0.01
Petz Rescue: Ocean Patrol,0.38
McGrath Vs. Pastrana Freestyle Motocross,0.26
Cooking Mama: World Kitchen,0.88
Percy Jackson and the Olympians: The Lightning Thief,0.25
PO'ed,0.03
Twisted Edge Extreme Snowboarding,0.2
Misshitsu no Sacrifice,0.02
"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",0.02
Super Batter Up,0.46
Dragon Ball Z Super Gokuden: Kakusei-Hen,0.11
Worms 2,0.01
Pretty Rhythm Rainbow Live: Kira Kira My * Design,0.08
Winning Post,0.53
Outlaw Tennis,0.12
IHRA Drag Racing: Sportsman Edition,0.09
htoL#NiQ: The Firefly Diary,0.01
Island Xtreme Stunts,0.08
TimeSplitters: Future Perfect,0.48000000000000004
Breakdown,0.12
Personal Trainer: Math,1.7000000000000002
Power Pro Kun Pocket 5,0.26
Dead Rising,2.1
Ridge Racer,2.4
NASCAR Heat,0.4
Mamoru-kun wa Norowarete Shimatta!,0.01
Tanjou S Debut,0.06
PGA Tour 96,0.24
Master Jin Jin's IQ Challenge,0.14
Rocket Power: Team Rocket Rescue,0.8400000000000001
Valhalla Knights,0.23
Rush Hour,0.03
The Bureau: XCOM Declassified,0.5900000000000001
Smart Girl's Playhouse,0.26
Tekken,3.24
The Lord of the Rings: The Battle for Middle-Earth II,0.08
Astro Boy: The Video Game,0.35000000000000003
Karaoke Revolution Presents American Idol Encore 2,0.53
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,0.37
Peter Pan in Disney's Return to Never Land,0.02
Catan,0.02
Paws & Claws: Pampered Pets,0.38
Kirby's Dream Collection: Special Edition,0.6900000000000001
The Legend of Heroes: Trails in the Sky SC Evolution,0.03
Now! That's What I Call Music: Dance & Sing,0.22
BoomBots,0.11
Just Dance 2014,6.590000000000002
Dragon Ball GT: Transformation,0.29000000000000004
Iron Soldier 3,0.02
Harvest Moon: Magical Melody,0.5700000000000001
Fate/Extra CCC,0.12
Blackwater,0.12
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,0.04
Daisy Fuentes Pilates,0.25
Pippa Funnell 2: Farm Adventures,0.01
Heart no Kuni no Alice: Wonderful Twin World,0.01
SD Gundam G Generation 3D,0.16
Banjo-Tooie,1.49
E.T. The Extra-Terrestrial,0.01
Kamen Rider Kabuto,0.06
Yoshi's Island DS,2.79
V-Rally Edition 99,0.09000000000000001
SpongeBob's Surf & Skate Roadtrip,0.33
Your Shape: Fitness Evolved 2013,0.14
Classic NES Series: Xevious,0.24
Valkyrie Profile: Covenant of the Plume,0.43000000000000005
Final Fight: Streetwise,0.07
Glory Days 2,0.09
SD Gundam G Generation DS,0.09
Yakuza 3,1.12
Thunderbirds,0.03
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,0.02
Neverwinter Nights 2: Mask of the Betrayer,0.01
Monkey Island: Special Edition Collection,0.35000000000000003
Clu Clu Land,0.8200000000000001
Gunblade NY & L.A. Machineguns Arcade Hits Pack,0.07999999999999999
Monster Hunter Frontier Online: Season 9.0,0.04
Mortal Kombat Mythologies: Sub-Zero,1.07
Uta no Prince-Sama: Music 3,0.05
E.X. Troopers,0.12000000000000001
Fight Night Round 2,1.6300000000000001
NBA Live 09,2.0100000000000002
Stretch Panic,0.05
The Book of Unwritten Tales,0.1
SoulCalibur Legends (JP sales),0.01
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,0.3
Voodoo Chronicles: First Sign,0.01
SingStar Pop,1.4400000000000002
We Cheer 2,0.26
DK: King of Swing,0.23
Muv-Luv Alternative: Total Eclipse,0.03
Away: Shuffle Dungeon,0.02
Time Travelers,0.09999999999999999
Evil Dead: Fistfull of Boomstick,0.48
Bayonetta 2,1.02
Imperium Romanum,0.01
Women's Volleyball Championship,0.03
Peggle: Dual Shot,0.12
Tenjin Ranman: Happy GO Lucky!!,0.01
ESPN Great Outdoor Games Bass 2002,0.04
Mr Bean's Wacky World of Wii,0.05
Winter Heat,0.11
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,0.08
Kingdom Hearts Re: Chain of Memories,0.88
Spartan: Total Warrior,0.42
Lux-Pain (JP sales),0.03
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,0.02
World Cup '98 France: Road to Win,0.09
Agatha Christie: Death on the Nile,0.01
Myth Makers: Orbs of Doom,0.05
Half-Life 2,2.9899999999999998
The Sims 3: Town Life Stuff,0.33
Pokémon Trading Card Game,3.6999999999999997
NCAA Football 14,1.8800000000000001
SpongeBob SquarePants: Double Pack,0.32
Shutter Island,0.2
Star X,0.04
Senran Kagura 2: Deep Crimson,0.21000000000000002
SSX Tricky,2.8899999999999992
Guitar Freaks V2 & DrumMania V2,0.02
Dragon Quest X,1.5299999999999998
MLB SlugFest Loaded,0.38
Sky Gunner,0.08
Gobliiins 4,0.01
Toy Story Mania!,1.91
The World Ends With You,0.8600000000000001
Dreamer Series: Shop Owner,0.08
Looney Tunes Racing,0.29000000000000004
Dance Factory,0.03
Shrek 2 and Shark Tale 2-in-1 Pack,0.14
Petz Catz Clan,0.56
True Crime: New York City,1.1899999999999997
Jirou Akagawa: Majotachi no Nemuri,0.05
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,0.02
Imagine: Rock Star,0.82
The Elder Scrolls Online,3.88
J Stars Victory Vs.,0.8300000000000002
Bus Simulator 16,0.02
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,0.1
Flight Control Rocket,0.44
Eternal Ring,0.30000000000000004
Yuu Yuu Hakusho,0.36
Mobile Suit Gundam: Climax U.C.,0.23
Two Worlds II,1.2400000000000002
Call of Duty: Modern Warfare Trilogy,0.03
Magicka Collection,0.02
Ben 10 Triple Pack,0.28
DragonHeart: Fire & Steel,0.03
Kaite Shabette Hajimeyou! Monster Farm DS,0.06
PGR4 - Project Gotham Racing 4,2.04
Cold Winter,0.11
Lovely Lisa,0.12
Pure Futbol,0.43000000000000005
Call of Juarez: The Cartel,0.6900000000000002
Commandos 3: Destination Berlin,0.02
Real World Golf,0.13
Genroh,0.02
Phantom Kingdom Portable,0.04
Durarara!! Relay,0.01
Star Ocean 5: Integrity and Faithlessness,0.33
Saki Portable,0.04
The Legend of Zelda: Majora's Mask 3D,2.32
Hatsune Miku: Project Diva X,0.13999999999999999
Command & Conquer: Red Alert,3.27
Tactics Layer: Ritina Guard Senki,0.01
Tiger Woods PGA Tour 2005,2.4299999999999997
Phantom Dust,0.1
World of Warcraft: Wrath of the Lich King,1.3199999999999998
Auto Destruct,0.08
Tenka-bito,0.03
Mega Man 4,0.9299999999999999
Jak II,2.78
DC Universe Online,0.77
Crimson Tears,0.03
Hot Shots Golf: Open Tee 2,0.68
Playmobil Knights,0.05
Monster Rancher 4,0.35000000000000003
Bugs Bunny: Lost in Time,0.4
Capcom Classics Collection Remixed,0.30000000000000004
Just Cause 3,2.849999999999999
Skylanders Giants,5.59
Sally's Salon,0.13
Porky's,0.24000000000000002
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,0.41000000000000003
Full House Kiss 2,0.02
Tekken 6,4.41
Fantastic Pets,0.41000000000000003
NBA Live 08,2.3600000000000003
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,0.09
Super Robot Taisen Compact 2 Dai-1-Bu,0.17
NBA ShootOut 2004,0.26
Fantastic 4: Flame On,0.29000000000000004
Rugrats: Scavenger Hunt,0.51
Sneakers,0.09000000000000001
Hyperdimension Neptunia U: Action Unleashed,0.18000000000000002
Music Maker,0.31
Disney's Brother Bear,0.39
Tom Clancy's Rainbow Six 3: Black Arrow,1.13
Total War: Rome II,0.76
SBK X: Superbike World Championship,0.41000000000000003
Metal Gear Solid Integral,0.11
Pop'n Music,0.08
Mega Man Powered Up,0.15
Virtua Cop,0.62
Super Dodge Ball Advance,0.19
Future Cop L.A.P.D.,0.29000000000000004
All-Star Baseball 2004,0.7000000000000002
Gladiator: Sword of Vengeance,0.18000000000000002
Hot Wheels Velocity X,0.7400000000000001
Hakuouki: Yuugi Roku,0.07
The Kore Gang,0.04
Monster Jam: Urban Assault,1.0400000000000003
The Matrix: Path of Neo,0.8
LEGO Racers 2,0.13
7 Wonders: Treasures of Seven,0.060000000000000005
Rune Factory: Frontier,0.39999999999999997
My Secret World by Imagine,0.2
Inazuma Eleven 2,1.42
NASCAR Unleashed,0.6
SD Gundam G Generation: Cross Drive,0.26
Kinect Star Wars,1.79
SingStar Anthems,0.8800000000000001
Titanfall,4.86
Kirby Super Star Ultra,2.9499999999999997
Fuuraiki 3,0.01
Simple DS Series Vol. 42: The Haioku Byoutou,0.02
Jurassic Park,0.36
Garfield's Nightmare,0.01
Bunmei Haruka: Aoiza Ibunroku,0.02
"WarioWare, Inc.: Mega MicroGame$",1.23
Tales of Destiny II,0.81
Gold's Gym: Dance Workout,0.8799999999999999
Command & Conquer 4: Tiberian Twilight,0.01
Moto Racer World Tour,0.37
Blinx: The Time Sweeper,0.56
Hikaru no Go: Heian Gensou Ibunroku,0.06
Star Wars The Clone Wars: Jedi Alliance,0.8
NBA 2K13,6.09
Pirates of the Caribbean,0.29000000000000004
Predator: Concrete Jungle,0.29000000000000004
Fire ProWrestling,0.12
Fortune Street,0.5
Super Mario Land 3: Wario Land,5.19
Mighty Beanz: Pocket Puzzles,0.05
Fuzion Frenzy 2,0.16000000000000003
Hot Shots Golf,2.8000000000000003
Chokkan! Asonde Relaxuma,0.01
Breath of Fire: Dragon Quarter,0.18
The Guy Game,0.21
Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,0.04
Just Sing! Vol. 2,0.05
Naughty Bear,0.8400000000000001
Nyaruko-San: Nafushigatai Game no You na Mono,0.01
Planetarian: Chiisana Hoshi no Yume,0.02
Street Fighter Alpha 3 MAX,0.33000000000000007
UNO 52,0.01
Nettou! Powerful Koushien,0.03
Mario's Picross,0.62
Black Rose Valkyrie,0.02
Thrasher Presents: Skate and Destroy,0.4
San Goku Shi DS 3,0.04
Star Wars: Battlefront II,6.679999999999999
Danny Phantom: Urban Jungle,0.04
Doraemon Wii: Himitsu Douguou Ketteisen!,0.01
"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",0.01
Kuon,0.02
Circus Maximus: Chariot Wars,0.07
The Story of Noah's Ark,0.11
System Flaw,0.09999999999999999
Bomberman Max 2: Red Advance,0.07
Moujuutsukai to Oujisama: Snow Bride,0.02
Little Red Riding Hood's Zombie BBQ,0.03
Yu-Gi-Oh! The Sacred Cards,1.31
PopCap Hits!,0.02
Back At The Barnyard: Slop Bucket Games,0.13
Nicktoons: Unite!,0.87
The Legend of Zelda,6.499999999999999
Atelier Iris 2: The Azoth Of Destiny,0.060000000000000005
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,0.08
Tale of a Hero,0.03
Baseball,4.810000000000001
Puppy Palace,0.38
Start the Party!,0.63
Tomb Raider II,7.53
The Movies,0.05
Crash Bash,3.39
Macross Ace Frontier,0.16
Bulletstorm,1.7000000000000002
Handball 16,0.12
Princess Isabella: A Witch's Curse,0.11
X-Plane 10 Global,0.02
Dreamfall: The Longest Journey,0.04
Jissen Pachi-Slot Hisshouhou,0.19
And1 Streetball,0.34
Medabots 9: Metabee / Rokusho,0.03
Supercar Street Challenge,1.12
Gallop & Ride!,0.15000000000000002
The Sims: Complete Collection,0.02
Gon: BakuBakuBakuBaku Adventure,0.02
Donkey Kong Junior,0.9600000000000001
Spyro: Year of the Dragon,3.6999999999999997
TOCA Race Driver 2: Ultimate Racing Simulator,0.43000000000000005
Phantasy Star Online Ver. 2,0.19
Resistance: Burning Skies,0.46
Rollcage Stage II,0.09
Saint Seiya: Soldiers' Soul,0.19
X-Men: Children of the Atom,0.32
James Bond 007: Agent Under Fire,5.17
Hysteria Hospital: Emergency Ward,0.16
GameBoy Wars,0.18
Bubble Bobble Double Shot,0.03
Jikkyou Powerful Pro Yakyuu 3,0.45
The Outfit,0.24999999999999997
Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,0.06
Around the World in 80 Days,0.2
Metal Gear Solid: The Essential Collection,0.47000000000000003
Meitantei Conan: Tantei Ryoku Trainer,0.06
Cool Boarders 2001,0.7500000000000001
Galerians: Ash,0.06999999999999999
The Humans: Meet the Ancestors!,0.01
SWAT 4,0.02
Tiny Toon Adventures: Plucky's Big Adventure,0.27
Advance Wars,0.7
Disney's Chicken Little: Ace In Action,0.06
Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),0.05
The SpongeBob SquarePants Movie,4.710000000000001
The Sims 2: Glamour Life Stuff,0.04
Peppa Pig: Theme Park Fun,0.32
Under the Skin,0.02
Bratz,0.14
Ultimate Duck Hunting: Hunting & Retrieving Ducks,0.22999999999999998
Sprint Cars: Road to Knoxville,0.06999999999999999
Zoids Assault,0.09
SD Gundam GX,0.19
Mahjong Taikai,0.04
NASCAR '14,0.26
World Heroes Anthology,0.01
Super Smash Bros. for Wii U and 3DS,12.46
Shakugan no Shana,0.03
Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,0.02
Army Men: RTS,0.16
Earthworm Jim,0.29000000000000004
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,0.03
Beaterator,0.1
F.E.A.R.,0.8900000000000001
Dream Dance & Cheer,0.06
FIFA Soccer 09 All-Play,0.9
GunParade Orchestra: Midori no Shou,0.02
Damnation,0.18000000000000002
Shark Tale,1.94
Advance Guardian Heroes,0.04
TOCA 2: Touring Cars,1.32
Golden Sun: The Lost Age,1.22
Sakura Wars 3: Paris wa Moeteiru ka,0.33
Jampack Winter 2003 (RP-M),0.46
MX vs. ATV: Alive,1.02
Akai Ito DS,0.02
Minna no Ennichi,0.05
Warcraft III: Reign of Chaos,0.13
Hakuouki SSL: Sweet School Life,0.05
Indianapolis 500 Evolution,0.02
Namco Museum,6.680000000000001
Crazy Taxi,4.82
Shrek 2,3.439999999999999
Boku no Natsuyasumi,0.4
World of Warcraft: The Burning Crusade,4.09
The Order: 1886,1.7200000000000002
Crash Nitro Kart,2.989999999999999
Culdcept,0.18000000000000002
Kao the Kangaroo,0.01
Pop'n Music 13 Carnival,0.03
The King of Fighters XI,0.19
American Girl: Julie Finds a Way,0.11
Streets of Rage 3,0.07
Sonic the Hedgehog 3,1.76
ESPN MLB Baseball,0.33999999999999997
Harvest Moon: Another Wonderful Life,0.25
Soul Eater: Monotone Princess,0.02
Discovery Kids: Snake Safari,0.02
Jak X: Combat Racing,0.54
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,0.06
Shin Megami Tensei x Fire Emblem,0.21000000000000002
MetropolisMania,0.08
Winning Eleven: Pro Evolution Soccer 2007,5.539999999999999
Mario Superstar Baseball,1.46
Jewel Link Chronicles: Legend of Athena,0.06999999999999999
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,0.12
Metroid Prime Hunters,0.79
ECW Anarchy Rulz,0.11
J-League Pro Soccer Club o Tsukurou!,0.36
Fire Emblem: Seisen no Keifu,0.58
Battlefield 3,17.37
Metal Gear Solid VR Missions,1.1900000000000002
The House of the Dead: Overkill,0.88
Call of Cthulhu: Dark Corners of the Earth,0.060000000000000005
Yu-Gi-Oh! GX: Tag Force 3,0.22
PGR3 - Project Gotham Racing 3,0.6000000000000001
Polar Bowler,0.02
Nancy Drew: The Mystery of the Clue Bender Society,0.26
May's Mystery: Forbidden Memories,0.09999999999999999
Tom Clancy's Splinter Cell Trilogy,0.13
Junior Classic Games,0.38
Hiiro no Kakera: Shin Tamayori Hime Denshou,0.01
Pro Evolution Soccer 2008,8.469999999999999
Animal Crossing: Happy Home Designer,2.98
PixelJunk Monsters Deluxe,0.12
TRON: Evolution - Battle Grids,0.22999999999999998
WWF War Zone,4.7
Star Wars: Empire at War - Forces of Corruption,0.02
Let's Ride! Dreamer,0.07
Call of Duty: Black Ops II,29.730000000000004
Shadow Tower,0.1
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,1.21
NCAA March Madness 2004,1.26
Elminage II: Sousei no Megami to Unmei no Daichi,0.02
Infected,0.15000000000000002
Lethal Skies Elite Pilot: Team SW,0.22
Warriors Orochi 2,0.47000000000000003
Hot Shots Golf: World Invitational,0.8900000000000001
The Smurfs 2,0.6600000000000001
Uta no * Prince-Sama,0.02
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,0.08
Frogger Beyond,0.21
Deer Drive,1.1900000000000002
SD Gundam Force,0.01
Sudoku Gridmaster (JP sales),0.19
Q*bert,1.4200000000000002
A Boy and His Blob,0.22999999999999998
Naruto: Clash of Ninja Revolution,1.02
Front Mission 2089: Border of Madness,0.05
Kinnikuman Muscle Grand Prix Max,0.05
Power Rangers: Ninja Storm,0.33999999999999997
Harry Potter and the Chamber of Secrets,7.629999999999999
Universal Studios Theme Parks Adventure,0.1
Mage Knight: Destiny's Soldier,0.02
NBA 08,0.29000000000000004
Breath of Fire III,1.05
Imagine: Wedding Designer,1.2800000000000002
Drakengard,0.65
Instant Brain,0.01
Donkey Kong,5.67
King of Fighters: Maximum Impact Regulation A,0.04
Irozuki Tingle no Koi no Balloon Trip,0.11
Super Monkey Ball 3D,0.5
Sentimental Graffiti 2,0.08
Pokemon Dash,0.77
The Chronicles of Riddick: Assault on Dark Athena,0.56
"Roswell Conspiracies: Aliens, Myths & Legends",0.04
Tekken 2,5.74
The Smurfs,0.46
Dark Summit,0.37
Super Power League,0.17
Rock Band Country Track Pack 2,0.22
I Doll U,0.02
Robotics;Notes,0.15
Super Puzzle Fighter II Turbo,0.14
Brain Boost: Gamma Wave,0.15000000000000002
Samurai Warriors: State of War,0.19
Captain Morgane and the Golden Turtle,0.09
Tail Concerto,0.03
Hot Wheels: World Race,0.14
Portal Runner,0.13
Super Robot Taisen R,0.26
Yoshi Touch & Go,0.39
Rocksmith,2.29
Bomberman 64,1.04
Quake,0.19
Wario World,0.44000000000000006
Scene It? Box Office Smash,0.6500000000000001
Mission Runway,0.09
Gold and Glory: The Road to El Dorado,0.05
Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,0.02
Primal Rage,0.11
Doki Doki! PreCure Narikiri Life!,0.04
NCAA GameBreaker 2001,0.47000000000000003
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,0.03
Action Bass,1.1400000000000001
Transworld Surf,0.18
Ben 10: Protector of Earth,4.489999999999999
Mimana Iyar Chronicle,0.09
ZooCube,0.06
Etrian Odyssey II: Heroes of Lagaard,0.37
